Allele group,Missense,Missense,Frameshift,Frameshift,,
,Count,Percent,Count,Percent,Corrected p values,p values
Ventricular septal defect [HP:0001629],31/60,52%,19/19,100%,0.0019104918312468707,5.6190936213143254e-05
Absent thumb [HP:0009777],12/71,17%,14/31,45%,0.095684672664751,0.005628510156750059
Patent ductus arteriosus [HP:0001643],3/37,8%,2/2,100%,0.15294646873594242,0.01349527665317139
Triphalangeal thumb [HP:0001199],13/72,18%,13/32,41%,0.2176138034868934,0.02560162393963452
Cardiac conduction abnormality [HP:0031546],14/36,39%,3/3,100%,0.5059634533318744,0.07440639019586388
Secundum atrial septal defect [HP:0001684],14/35,40%,4/22,18%,0.8072294637445331,0.1424522583078588
Muscular ventricular septal defect [HP:0011623],6/59,10%,6/25,24%,0.8196217102808717,0.1687456462342971
Hypoplasia of the radius [HP:0002984],30/62,48%,6/14,43%,1.0,0.7735491022101784
Abnormal ventricular septum morphology [HP:0010438],31/31,100%,19/19,100%,1.0,1.0
Abnormal cardiac septum morphology [HP:0001671],62/62,100%,28/28,100%,1.0,1.0
Abnormal hand morphology [HP:0005922],53/53,100%,20/20,100%,1.0,1.0
Atrial septal defect [HP:0001631],42/44,95%,20/20,100%,1.0,1.0
Abnormal atrial septum morphology [HP:0011994],43/43,100%,20/20,100%,1.0,1.0
Abnormal cardiac atrium morphology [HP:0005120],43/43,100%,20/20,100%,1.0,1.0
Abnormal appendicular skeleton morphology [HP:0011844],64/64,100%,34/34,100%,1.0,1.0
Upper limb undergrowth [HP:0009824],33/33,100%,7/7,100%,1.0,1.0
Aplasia/hypoplasia of the extremities [HP:0009815],55/55,100%,22/22,100%,1.0,1.0
Aplasia/hypoplasia involving the skeleton [HP:0009115],56/56,100%,23/23,100%,1.0,1.0
Aplasia/hypoplasia involving bones of the upper limbs [HP:0006496],55/55,100%,22/22,100%,1.0,1.0
Aplasia/hypoplasia involving bones of the extremities [HP:0045060],55/55,100%,22/22,100%,1.0,1.0
Aplasia/hypoplasia involving forearm bones [HP:0006503],37/37,100%,12/12,100%,1.0,1.0
Abnormal forearm bone morphology [HP:0040072],37/37,100%,14/14,100%,1.0,1.0
Short long bone [HP:0003026],35/35,100%,9/9,100%,1.0,1.0
Abnormal long bone morphology [HP:0011314],44/44,100%,13/13,100%,1.0,1.0
Aplasia/Hypoplasia of the radius [HP:0006501],37/37,100%,11/11,100%,1.0,1.0
Abnormal morphology of the radius [HP:0002818],37/37,100%,13/13,100%,1.0,1.0
Short thumb [HP:0009778],11/41,27%,8/30,27%,1.0,1.0
Aplasia/Hypoplasia of the thumb [HP:0009601],20/20,100%,19/19,100%,1.0,1.0
Aplasia/Hypoplasia of fingers [HP:0006265],22/22,100%,19/19,100%,1.0,1.0
Aplasia/hypoplasia involving bones of the hand [HP:0005927],22/22,100%,19/19,100%,1.0,1.0
Abnormal finger morphology [HP:0001167],36/36,100%,31/31,100%,1.0,1.0
Abnormal digit morphology [HP:0011297],38/38,100%,33/33,100%,1.0,1.0
Abnormal thumb morphology [HP:0001172],30/30,100%,31/31,100%,1.0,1.0
Absent radius [HP:0003974],7/32,22%,6/25,24%,1.0,1.0
