,Frameshift,Other,Corrected p values,p values
Ventricular septal defect [HP:0001629],19/19 (100%),42/71 (59%),0.005806240832840839,0.00024192670136836828
Absent thumb [HP:0009777],14/31 (45%),18/100 (18%),0.04456405819223913,0.0037136715160199273
Secundum atrial septal defect [HP:0001684],4/22 (18%),23/55 (42%),0.4065940176561687,0.06544319142266644
Triphalangeal thumb [HP:0001199],13/32 (41%),23/99 (23%),0.4065940176561687,0.06932119159387057
Muscular ventricular septal defect [HP:0011623],6/25 (24%),8/84 (10%),0.4065940176561687,0.08470708701170182
Short thumb [HP:0009778],8/30 (27%),25/69 (36%),1.0,0.4870099714553749
Absent radius [HP:0003974],6/25 (24%),9/43 (21%),1.0,0.7703831604944444
Abnormal long bone morphology [HP:0011314],13/13 (100%),50/50 (100%),1.0,1.0
Aplasia/Hypoplasia of fingers [HP:0006265],19/19 (100%),44/44 (100%),1.0,1.0
Aplasia/hypoplasia involving bones of the hand [HP:0005927],19/19 (100%),44/44 (100%),1.0,1.0
Atrial septal defect [HP:0001631],20/20 (100%),63/65 (97%),1.0,1.0
Abnormal atrial septum morphology [HP:0011994],20/20 (100%),64/64 (100%),1.0,1.0
Abnormal cardiac atrium morphology [HP:0005120],20/20 (100%),64/64 (100%),1.0,1.0
Abnormal hand morphology [HP:0005922],20/20 (100%),75/75 (100%),1.0,1.0
Aplasia/hypoplasia of the extremities [HP:0009815],22/22 (100%),78/78 (100%),1.0,1.0
Aplasia/hypoplasia involving bones of the upper limbs [HP:0006496],22/22 (100%),78/78 (100%),1.0,1.0
Aplasia/hypoplasia involving bones of the extremities [HP:0045060],22/22 (100%),78/78 (100%),1.0,1.0
Aplasia/hypoplasia involving the skeleton [HP:0009115],23/23 (100%),80/80 (100%),1.0,1.0
Abnormal cardiac septum morphology [HP:0001671],28/28 (100%),89/89 (100%),1.0,1.0
Abnormal thumb morphology [HP:0001172],31/31 (100%),58/58 (100%),1.0,1.0
Abnormal finger morphology [HP:0001167],31/31 (100%),64/64 (100%),1.0,1.0
Abnormal digit morphology [HP:0011297],33/33 (100%),67/67 (100%),1.0,1.0
Abnormal appendicular skeleton morphology [HP:0011844],34/34 (100%),93/93 (100%),1.0,1.0
Hypoplasia of the radius [HP:0002984],6/14 (43%),34/75 (45%),1.0,1.0
